RPL7,RPL19
RPL7,RPLP0
RPL7,RPL10
RPL7,RPL32
RPL7,RPL30
RPL7,RPS3A
RPL7,RPL12
TYMS,WDR1
TYMS,ZRANB2
TYMS,UBE2B
TYMS,VPS4B
RPS4X,RPS13
RPS4X,RPS11
RPS4X,RPS19
RPS4X,RPS18
RPS4X,RPS6
RPS4X,RPS5
RPS4X,OXSR1
RPS4X,RPS9
RPS4X,RPS8
RPS4X,EIF3D
RPS4X,RPL23
RPS4X,STK24
RPS4X,SRP14
RPS4X,CUL1
RPS4X,RPS27
RPS4X,RPS24
RPS4X,VRK1
RPS4X,RPS23
RPS4X,NOLC1
RPS4X,RPS28
RPS4X,RPS29
RPS4X,U2AF1
RPS4X,RPS6KA1
CFL1,ACTG1
CFL1,SUMO2
CFL1,TPI1
CFL1,OAT
CFL1,DHX15
CFL1,CALM1
CFL1,GRK5
CFL1,CUL1
CFL1,WDR1
CFL1,SOD1
CFL1,APP
CFL1,ACTB
CFL1,CAPZB
CFL1,BTF3L4
CFL1,EIF5A
CFL1,ATP5C1
CFL1,NMD3
CFL1,HSPH1
CFL1,RBM34
CFL1,NHP2L1
CFL1,TPT1
CFL1,FKBP1A
CFL1,PGM1
CFL1,UBA1
CFL1,RPS6KA1
CFL1,IL7R
CFL1,REXO2
CFL1,PPA1
CFL1,VDAC3
CFL1,SKP1
CFL1,NPM1
CFL1,FBXO25
CFL1,CKS2
CFL1,HDLBP
CFL1,EEF1B2
CFL1,SAR1B
CFL1,PHLPP1
CFL1,CAPZA2
CFL1,ATP6V1E1
CFL1,ATP1A1
CFL1,SARS
CFL1,RRM2
CFL1,VARS
CFL1,HMGCS1
CFL1,EIF6
CFL1,MDH2
CFL1,EIF2S3
CFL1,AK2
CFL1,YWHAZ
CFL1,PGD
CFL1,ECT2
CFL1,YWHAQ
CFL1,DDX18
CFL1,YWHAG
CFL1,RAD21
CFL1,LSM2
CFL1,MCM5
CFL1,OLA1
CFL1,MCM2
CFL1,MIOS
CFL1,TARS
CFL1,AHCY
CFL1,ATF2
EEF2,HSPA4
EEF2,SUMO1
EEF2,HSPA8
EEF2,RPL23
EEF2,SMG1
EEF2,RBM34
EEF2,GRK5
EEF2,HSP90AB1
EEF2,CUL1
EEF2,SUMO2
EEF2,RPL11
EEF2,RPL12
EEF2,SNRPD3
EEF2,HNRNPDL
EEF2,MAX
EEF2,COPB2
EEF2,OSBP
EEF2,RPL6
EEF2,RPL7
EEF2,RPL4
EEF2,RPL5
EEF2,ATP6V1H
EEF2,HSP90B1
EEF2,NHP2
EEF2,XRCC6
EEF2,XPO1
EEF2,PSMC5
EEF2,RPL10A
EEF2,PHKG2
EEF2,PGK1
EEF2,PIKFYVE
EEF2,POLR2B
EEF2,RPS6KA1
EEF2,HDAC2
EEF2,RAD23A
EEF2,RPS6
EEF2,RPS5
EEF2,HNRNPH1
EEF2,RPS2
EEF2,OXSR1
EEF2,MIOS
EEF2,SMC3
EEF2,PSMA3
EEF2,HNRNPL
EEF2,FBXO25
EEF2,PABPC1
EEF2,HMGCS1
EEF2,RPS24
EEF2,RPS23
EEF2,TAF6
EEF2,HNRNPA3
EEF2,GAPDH
EEF2,RPS4X
EEF2,RPLP0P6
EEF2,GNAS
EEF2,RPS3A
EEF2,HSP90AA1
EEF2,PPP2R1A
EEF2,RBM4
EEF2,PSMD4
EEF2,RPS19
EEF2,RRM1
EEF2,PGD
EEF2,RPL21
EEF2,DDX18
EEF2,HSPD1
EEF2,PSMC2
EEF2,PSMC3
EEF2,PSMC4
EEF2,RRN3
EEF2,OLA1
EEF2,NPM1
EEF2,RPL31
EEF2,TARS
EEF2,BZW1
EEF1B2,UQCR10
EEF1B2,RPS2
EEF1B2,UQCRH
EEF1B2,EIF2S3
EEF1B2,VARS
EEF1B2,UBQLN2
EEF1B2,NPM1
EEF1B2,DDX18
EEF1B2,EIF4A2
EEF1B2,HSPD1
EEF1B2,CUL1
EEF1B2,RRM2
EEF1B2,NUP153
EEF1B2,TPR
EEF1B2,OLA1
EEF1B2,NMD3
EEF1B2,SAR1B
EEF1B2,RPLP0P6
EEF1B2,DNAJA1
EEF1B2,AK2
EEF1B2,SRRM2
EEF1B2,COPB2
EEF1B2,HES4
EEF1B2,APP
EEF1B2,EEF2
TPT1,CCT6A
TPT1,CALM1
TPT1,CCT3
TPT1,CDC23
TPT1,TSC22D1
TPT1,COPB2
TPT1,BTF3L4
TPT1,UBA1
RPL32,RPS11
RPL32,RPS6
RPL32,RPS3
RPL32,RPS2
RPL32,RPS8
RPL32,RPL23
RPL32,CUL1
RPL32,RPS23
RPL32,RPS29
RPL32,RPS4X
RPL32,RPS6KA1
RPL32,RPS3A
RPS19,CNBP
RPS19,RPL23
RPS19,RPS23
RPS19,YWHAZ
RPS19,EIF2A
RPS19,STK24
RPS19,RPS24
RPS19,VRK1
RPS19,RPS28
RPS19,RPS29
RPS19,CUL1
PGK1,SUMO1
PGK1,PSMD4
PGK1,PSMD6
PGK1,SUMO2
PGK1,TPI1
PGK1,RPA2
PGK1,PSMC2
PGK1,PSMA3
PGK1,PSMC3
PGK1,PSMC4
PGK1,PSMC6
PGK1,IQCB1
PGK1,RAD21
PGK1,UBA5
PGK1,TAF6
PGK1,PSMD11
PGK1,PSMC5
PGK1,COPB2
RPLP1,RPS13
RPLP1,RPS11
RPLP1,CAPZB
RPLP1,RPLP2
RPLP1,RPS19
RPLP1,SUMO2
RPLP1,UBE2D3
RPLP1,RPS6
RPLP1,RPS5
RPLP1,RPS3
RPLP1,RPL23
RPLP1,CCT3
RPLP1,TPT1
RPLP1,EIF3A
RPLP1,C1QBP
RPLP1,MAP1LC3B
RPLP1,CCT6A
RPLP1,CUL1
RPLP1,RPS24
RPLP1,RPS23
RPLP1,RPS8
RPLP1,RPS4X
RPLP1,RPS6KA1
RPLP1,RPS3A
RPLP1,RPS2
YWHAE,HDAC4
YWHAE,IRS2
YWHAE,OXSR1
YWHAE,CBX4
YWHAE,YWHAZ
YWHAE,CALM2
YWHAE,CALM3
YWHAE,CALM1
YWHAE,TUBA1A
YWHAE,EXO1
YWHAE,YWHAH
YWHAE,YWHAG
YWHAE,CDC25B
YWHAE,NDEL1
YWHAE,TLK1
YWHAE,CASP3
YWHAE,RNASEH2B
YWHAE,CUL1
RPS11,RPS13
RPS11,SPG7
RPS11,SUMO1
RPS11,RPS19
RPS11,PRPF4B
RPS11,OXSR1
RPS11,YWHAZ
RPS11,EIF3D
RPS11,RPL23
RPS11,STK24
RPS11,CUL1
RPS11,RPS24
RPS11,VRK1
RPS11,RPS23
RPS11,CCNB2
RPS11,RNASEH2B
RPS11,EIF4A3
EEF1A1,DYNLL1
EEF1A1,SMARCD1
EEF1A1,SUMO1
EEF1A1,IQCB1
EEF1A1,UQCRH
EEF1A1,EIF3L
EEF1A1,SRRM2
EEF1A1,GRK5
EEF1A1,RPSA
EEF1A1,NABP2
EEF1A1,MAGOH
EEF1A1,SUMO2
EEF1A1,MRPS7
EEF1A1,HSPA8
EEF1A1,RPL15
EEF1A1,RPL11
EEF1A1,KRAS
EEF1A1,HNRNPDL
EEF1A1,MRPL42
EEF1A1,FAM206A
EEF1A1,XRN2
EEF1A1,ACTB
EEF1A1,YBX1
EEF1A1,RPL6
EEF1A1,RPL4
EEF1A1,RPL5
EEF1A1,GAPDH
EEF1A1,EXOSC4
EEF1A1,SEPT2
EEF1A1,XPO5
EEF1A1,EFTUD2
EEF1A1,RAB7A
EEF1A1,TPT1
EEF1A1,PTPRCAP
EEF1A1,POLR2C
EEF1A1,PSMD11
EEF1A1,TAF9
EEF1A1,LAMTOR1
EEF1A1,EIF4A3
EEF1A1,VBP1
EEF1A1,RAD23A
EEF1A1,RPLP1
EEF1A1,RPL18A
EEF1A1,RPS6
EEF1A1,RPS5
EEF1A1,RPS8
EEF1A1,NAA20
EEF1A1,HSP90AA1
EEF1A1,PSMA2
EEF1A1,PSMA3
EEF1A1,HNRNPK
EEF1A1,PSMA6
EEF1A1,RAF1
EEF1A1,PABPC1
EEF1A1,HNRNPL
EEF1A1,RANBP2
EEF1A1,RPS23
EEF1A1,EEF1B2
EEF1A1,NREP
EEF1A1,RPS4X
EEF1A1,CASP2
EEF1A1,RPLP0P6
EEF1A1,ATP6V1E1
EEF1A1,CUL1
EEF1A1,RPS3A
EEF1A1,HSPE1
EEF1A1,RPL10A
EEF1A1,RPL12
EEF1A1,NEU1
EEF1A1,FBL
EEF1A1,PPP2R1A
EEF1A1,RPS11
EEF1A1,SMN1
EEF1A1,VARS
EEF1A1,TMSB4X
EEF1A1,RPS19
EEF1A1,RPS24
EEF1A1,RBMX
EEF1A1,RSRC1
EEF1A1,RPL31
EEF1A1,RBM4
EEF1A1,RPS2
EEF1A1,AXIN1
EEF1A1,PICALM
EEF1A1,RPL21
EEF1A1,PFKP
EEF1A1,TTLL12
EEF1A1,YWHAG
EEF1A1,YWHAZ
EEF1A1,RPS13
EEF1A1,ANXA7
EEF1A1,SSBP1
EEF1A1,NPM1
EEF1A1,PPP1CB
EEF1A1,RPL23A
EEF1A1,RPL30
EEF1A1,RPA2
EEF1A1,BTBD2
EEF1A1,EEF2
EEF1A1,ILF2
DDX5,SUMO1
DDX5,SUMO2
DDX5,DHX15
DDX5,CALM2
DDX5,CALM3
DDX5,CALM1
DDX5,DHX9
DDX5,PRPSAP1
DDX5,C20orf24
DDX5,ARF6
DDX5,RPL19
DDX5,SNRPD2
DDX5,XRN2
DDX5,IL7R
DDX5,U2AF1
DDX5,RBM34
DDX5,STK24
DDX5,SRP14
DDX5,SMARCAD1
DDX5,PHKG2
DDX5,SEC13
DDX5,MTHFD1
DDX5,EIF4A3
DDX5,HDAC2
DDX5,YY1
DDX5,RPLP2
DDX5,SMN1
DDX5,HNRNPH3
DDX5,HNRNPH1
DDX5,SNRPA1
DDX5,PRPF40A
DDX5,PSMA3
DDX5,HNRNPK
DDX5,HNRNPM
DDX5,HNRNPF
DDX5,HNRNPA1
DDX5,TCEA1
DDX5,MBNL1
DDX5,EP300
DDX5,CUL1
DDX5,FBL
